Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD]
2001,YR2001,Ethiopia,ETH,8.30143218440083,119.508996657129
2001,YR2001,Gabon,GAB,2.13167995276056,3730.98469293341
2001,YR2001,"Gambia, The",GMB,5.80000000409646,514.654495548313
2001,YR2001,Ghana,GHA,4.00000000058183,270.721268458573
2001,YR2001,Guinea,GIN,3.65834647072831,334.434534597696
2001,YR2001,Guinea-Bissau,GNB,7.22487917549897,157.357607121836
2001,YR2001,Kenya,KEN,3.77990649688917,404.848373275083
2001,YR2001,Lesotho,LSO,4.2292044101311,355.171931086231
2001,YR2001,Liberia,LBR,22.0958531439042,175.212023562919
2001,YR2001,Libya,LBY,-4.3,5330.83175067858
2001,YR2001,Madagascar,MDG,6.01782440081657,285.84232399013
2001,YR2001,Malawi,MWI,-4.97496384274105,148.881246969498
2001,YR2001,Mali,MLI,12.1000000004998,225.926521015868
